Country/Region,Adult prevalence of HIV/AIDS,Number of people with HIV/AIDS,Annual deaths from HIV/AIDS,Year of estimate
ÿEswatini,28.30%,"240,000","3,000",2024
ÿLesotho,26.20%,"445,000","7,000",2025
ÿBotswana,22.80%,"399,100","5,275",2025
ÿZimbabwe,22.10%,"1,660,000","25,600",2024
ÿSouth Africa,14.40%,"9,400,000","80,000",2025
ÿMozambique,12.65%,"2,485,000","59,100",2024
ÿMalawi,11.40%,"1,642,570","15,270",2024
ÿEquatorial Guinea,7.66%,"74,165","2,400",2024
ÿTanzania,7%,"3,300,000","39,000",2025
ÿKenya,5.10%,"1,710,000","24,000",2023
ÿUganda,5%,"1,590,000","23,300",2023
ÿTogo,5.20%,"220,440","6,600",2024
ÿCameroon,4%,"530,000","14,600",2023
ÿGabon,4.50%,"68,000","4,800",2025
ÿCentral African Republic,4%,"126,200","4,400",2024
ÿGuinea-Bissau,3.65%,"42,000","2,200",2023
"ÿCongo, Republic of the",3.77%,"110,840","6,700",2024
ÿBarbados,0.90%,"2,100",-,2023
ÿRwanda,2.90%,"230,000","2,800",2016
ÿC“te d'Ivoire,2.70%,"430,000","13,000",2016
ÿSouth Sudan,2.40%,"190,000","9,100",2016
"ÿGambia, The",2.40%,"31,000","1,540",2023
ÿHaiti,2.20%,"180,000","3,000",2023
ÿNigeria,2.20%,"2,450,000","56,500",2024
ÿBelize,3%,"6,000",-,2025
ÿAngola,2.10%,"355,000","15,000",2024
ÿGhana,2.00%,"361,897","22,000",2025
"ÿBahamas, The",1.80%,"6,000",-,2018
ÿJamaica,1.65%,"32,000","1,000",2019
ÿSaint Vincent and the Grenadinesÿ[9],1.60%,860,-,2023
ÿRussian Federation[10],1.50%,"1,400,000[11]","24,000",2023
ÿLiberia,1.50%,"50,000","2,300",2023
ÿSierra Leone,1.50%,"78,000","2,600",2019
ÿGuinea,1.40%,"110,000","3,100",2016
ÿGuyana,1.40%,"8,700",-,2019
ÿSuriname,1.30%,"5,800",-,2019
ÿDjibouti,1.50%,"9,100",-,2024
ÿBurundi,1.20%,"85,000","1,800",2016
ÿChad,1.20%,"120,000","3,200",2016
ÿMali,1.20%,"140,000","5,800",2016
ÿTrinidad and Tobago,1.20%,"11,000",-,2016
ÿThailand,1.31%,"800,000","25,000",2024
ÿEthiopia,1.40%,"760,000","25,000",2024
ÿUkraine,1.10%,"260,000","9,100",2023
ÿBenin,1.00%,"67,000","2,400",2016
ÿDominican Republic,1.00%,"67,000","2,200",2024
ÿPapua New Guinea,0.90%,"46,000","1,100",2016
ÿCabo Verde,0.80%,"2,800",-,2016
